UNIX time,seconds_elapsed,z,y,x,altitude,speedAccuracy,bearingAccuracy,latitude,altitudeAboveMeanSeaLevel,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed
1763934557290390300,28.5764,-0.5365113075,-0.8850329226,0.843576146,235.6451102,0.3080157143,7.258974519,43.12492858,270.1267424,188.8984833,4.74865153,6.504738219,-89.31832651,3.668035984
1763934557300441300,28.5864,-0.2037196148,-1.399966458,0.4284165512,235.6451102,0.3080157143,7.258974519,43.12492858,270.1267424,188.8984833,4.74865153,6.504738219,-89.31832651,3.668035984
1763934557310493200,28.5965,-0.4066391653,-0.5651436008,0.09220482097,235.6451102,0.3080157143,7.258974519,43.12492858,270.1267424,188.8984833,4.74865153,6.504738219,-89.31832651,3.668035984
1763934557320544300,28.6065,-0.1952899324,0.1167877658,-0.4744903201,235.6451102,0.3080157143,7.258974519,43.12492858,270.1267424,188.8984833,4.74865153,6.504738219,-89.31832651,3.668035984
1763934557330595300,28.6166,-0.3559450431,0.03354512673,-0.3588216215,235.6451102,0.3080157143,7.258974519,43.12492858,270.1267424,188.8984833,4.74865153,6.504738219,-89.31832651,3.668035984
1763934557340646100,28.6266,-0.1869032123,0.1918537474,-0.3054951049,235.6451102,0.3080157143,7.258974519,43.12492858,270.1267424,188.8984833,4.74865153,6.504738219,-89.31832651,3.668035984
1763934557350698200,28.6367,0.324474823,-0.08575703307,0.09151099348,235.6451102,0.3080157143,7.258974519,43.12492858,270.1267424,188.8984833,4.74865153,6.504738219,-89.31832651,3.668035984
1763934557360749300,28.6467,1.08471393,-0.8816847812,0.2333873156,235.6451102,0.3080157143,7.258974519,43.12492858,270.1267424,188.8984833,4.74865153,6.504738219,-89.31832651,3.668035984
1763934557370800400,28.6568,1.576448522,0.1746317598,0.4331552702,235.6451102,0.3080157143,7.258974519,43.12492858,270.1267424,188.8984833,4.74865153,6.504738219,-89.31832651,3.668035984
1763934557380851200,28.6669,0.924053412,0.7112203703,-0.5220283164,235.6451102,0.3080157143,7.258974519,43.12492858,270.1267424,188.8984833,4.74865153,6.504738219,-89.31832651,3.668035984
1763934557390903300,28.6769,-0.6443313385,0.7873601916,-1.099699025,235.6451102,0.3080157143,7.258974519,43.12492858,270.1267424,188.8984833,4.74865153,6.504738219,-89.31832651,3.668035984
1763934557400954400,28.6870,-0.8427063774,1.413592102,-1.561962901,235.6451102,0.3080157143,7.258974519,43.12492858,270.1267424,188.8984833,4.74865153,6.504738219,-89.31832651,3.668035984
1763934557411005200,28.6970,-0.5678922419,1.50236651,-0.2300239766,235.6451102,0.3080157143,7.258974519,43.12492858,270.1267424,188.8984833,4.74865153,6.504738219,-89.31832651,3.668035984
1763934557421057300,28.7071,-0.06612111616,-0.1895663306,0.6187725343,235.6451102,0.3080157143,7.258974519,43.12492858,270.1267424,188.8984833,4.74865153,6.504738219,-89.31832651,3.668035984
1763934557431108400,28.7171,0.607127397,-0.1579913714,0.8706056072,235.6451102,0.3080157143,7.258974519,43.12492858,270.1267424,188.8984833,4.74865153,6.504738219,-89.31832651,3.668035984
1763934557441159200,28.7272,1.362495975,-0.7294152946,-0.4558014017,235.6451102,0.3080157143,7.258974519,43.12492858,270.1267424,188.8984833,4.74865153,6.504738219,-89.31832651,3.668035984
1763934557451210200,28.7372,0.7861176442,-0.6586858809,0.1989782655,235.6451102,0.3080157143,7.258974519,43.12492858,270.1267424,188.8984833,4.74865153,6.504738219,-89.31832651,3.668035984
1763934557461262300,28.7473,0.1682498036,-0.5450961805,1.432168062,235.6451102,0.3080157143,7.258974519,43.12492858,270.1267424,188.8984833,4.74865153,6.504738219,-89.31832651,3.668035984
1763934557471313200,28.7573,0.516570051,-0.5518386405,1.873479166,235.6451102,0.3080157143,7.258974519,43.12492858,270.1267424,188.8984833,4.74865153,6.504738219,-89.31832651,3.668035984
1763934557481364200,28.7674,0.5747744027,-0.5790639896,1.697006746,235.6451102,0.3080157143,7.258974519,43.12492858,270.1267424,188.8984833,4.74865153,6.504738219,-89.31832651,3.668035984
1763934557491415300,28.7774,-0.8342398701,0.3646586571,0.7043927162,235.6451102,0.3080157143,7.258974519,43.12492858,270.1267424,188.8984833,4.74865153,6.504738219,-89.31832651,3.668035984
